discipline,concept,record_n,group_n,prevalence,log2_prevalence_ratio
Health,fire_weather,11,450,0.024444444444444446,-2.4862929970099468
Other or multidisciplinary,source_explicit,20,981,0.020387359836901122,-0.04162337866666439
Other or multidisciplinary,natural_ignition,6,981,0.0061162079510703364,-0.5471225419782851
Other or multidisciplinary,human_ignition,14,981,0.014271151885830785,0.04904305460465446
Other or multidisciplinary,climate_attribution,16,981,0.0163098878695209,1.1090447992932269
Other or multidisciplinary,counterfactual,3,981,0.0030581039755351682,0.3098144089298795
Other or multidisciplinary,fuel_legacy,41,981,0.0417940876656473,-1.0285170516936075
Other or multidisciplinary,suppression_control,41,981,0.0417940876656473,-0.8928496298768289
Other or multidisciplinary,burned_area,64,981,0.0652395514780836,-0.751395492187123
Other or multidisciplinary,fire_severity,44,981,0.04485219164118247,-1.0882877242673805
Other or multidisciplinary,emissions_carbon,150,981,0.1529051987767584,0.04728844188227817
Other or multidisciplinary,nonco2_biophysical,63,981,0.06422018348623854,-0.5420785787371754
Other or multidisciplinary,radiative_temperature,33,981,0.03363914373088685,-0.2921433020732695
Other or multidisciplinary,postfire_recovery,13,981,0.013251783893985729,-1.1731815919856003
Other or multidisciplinary,feedback_closure,8,981,0.00815494393476045,0.2944664445964433
Other or multidisciplinary,fire_weather,80,981,0.08154943934760449,-0.8015336660116551
