k,stability,topic_diversity,reconstruction_error,error_gain_scaled,selection_score
10,0.8403127000059265,0.97,94.86860346351753,0.0,0.7531719850032597
11,0.9582995541481535,0.9727272727272728,94.74888031515331,0.2136746050071513,0.850934127350739
12,0.8730250766956091,0.9666666666666667,94.65220185499503,0.38622044989403786,0.8280968596666907
13,0.913966278370579,0.9461538461538461,94.55667942983935,0.5567030737085432,0.8700330680062538
14,0.8486703143685951,0.9428571428571428,94.47509099312218,0.7023171611000404,0.8549733899248763
15,0.8879537739678893,0.96,94.38402815821162,0.8648405790538651,0.9061006625404189
16,0.8809340948754384,0.95625,94.30829753310428,1.0,0.9213887521814912
