topic_id,source_explicit,natural_ignition,human_ignition,climate_attribution,counterfactual,fuel_legacy,suppression_control,burned_area,fire_severity,emissions_carbon,nonco2_biophysical,radiative_temperature,postfire_recovery,feedback_closure,fire_weather
0,0.029585798816568046,0.011834319526627219,0.020710059171597635,0.005917159763313609,0.0,0.5739644970414202,0.46153846153846156,0.14497041420118342,0.20710059171597633,0.09171597633136094,0.01775147928994083,0.005917159763313609,0.01775147928994083,0.0,0.3905325443786982
1,0.012987012987012988,0.004722550177095631,0.011806375442739079,0.0011806375442739079,0.0035419126328217238,0.12396694214876033,0.11097992916174734,0.05430932703659976,0.18536009445100354,0.08264462809917356,0.03305785123966942,0.011806375442739079,0.08028335301062574,0.0011806375442739079,0.09327036599763873
2,0.05420560747663551,0.037383177570093455,0.024299065420560748,0.011214953271028037,0.001869158878504673,0.052336448598130844,0.08598130841121496,0.16261682242990655,0.06542056074766354,0.03925233644859813,0.018691588785046728,0.005607476635514018,0.003738317757009346,0.0,0.9252336448598131
3,0.012939001848428836,0.0018484288354898336,0.0166358595194085,0.005545286506469501,0.0,0.08317929759704251,0.031423290203327174,0.04066543438077634,0.06099815157116451,0.08687615526802218,0.066543438077634,0.029574861367837338,0.0073937153419593345,0.0036968576709796672,0.012939001848428836
4,0.014814814814814815,0.0,0.003703703703703704,0.003703703703703704,0.003703703703703704,0.10740740740740741,0.037037037037037035,0.17592592592592593,0.07962962962962963,0.8574074074074074,0.19444444444444445,0.03333333333333333,0.011111111111111112,0.011111111111111112,0.05
5,0.005076142131979695,0.0025380710659898475,0.01015228426395939,0.0,0.0025380710659898475,0.017766497461928935,0.012690355329949238,0.03807106598984772,0.015228426395939087,0.4720812182741117,0.9289340101522843,0.6065989847715736,0.0025380710659898475,0.11928934010152284,0.04568527918781726
6,0.017278617710583154,0.0007199424046076314,0.01511879049676026,0.005759539236861051,0.0007199424046076314,0.05759539236861051,0.07271418286537078,0.0251979841612671,0.012239020878329733,0.05903527717782577,0.007919366450683946,0.0014398848092152627,0.005759539236861051,0.0,0.038876889848812095
7,0.01037344398340249,0.002074688796680498,0.01037344398340249,0.004149377593360996,0.002074688796680498,0.08298755186721991,0.03112033195020747,0.21161825726141079,0.08091286307053942,0.10995850622406639,0.07468879668049792,0.06639004149377593,0.07468879668049792,0.002074688796680498,0.07468879668049792
8,0.0019455252918287938,0.0,0.0019455252918287938,0.005836575875486381,0.0,0.05058365758754864,0.06031128404669261,0.04474708171206226,0.13618677042801555,0.23735408560311283,0.11478599221789883,0.0019455252918287938,0.06420233463035019,0.0019455252918287938,0.009727626459143969
9,0.010101010101010102,0.006060606060606061,0.022222222222222223,0.04242424242424243,0.010101010101010102,0.026262626262626262,0.020202020202020204,0.06464646464646465,0.01818181818181818,0.09090909090909091,0.044444444444444446,0.00808080808080808,0.0,0.0,0.1898989898989899
10,0.005025125628140704,0.001256281407035176,0.005025125628140704,0.002512562814070352,0.002512562814070352,0.07663316582914573,0.0728643216080402,0.035175879396984924,0.08417085427135679,0.022613065326633167,0.010050251256281407,0.0,0.05025125628140704,0.0,0.016331658291457288
11,0.018475750577367205,0.009237875288683603,0.009237875288683603,0.004618937644341801,0.0,0.13394919168591224,0.11316397228637413,0.23094688221709006,0.6905311778290993,0.06235565819861432,0.06004618937644342,0.009237875288683603,0.18706697459584296,0.006928406466512702,0.21939953810623555
12,0.030878859857482184,0.019002375296912115,0.009501187648456057,0.004750593824228029,0.0,0.030878859857482184,0.057007125890736345,0.10451306413301663,0.028503562945368172,0.052256532066508314,0.030878859857482184,0.023752969121140142,0.009501187648456057,0.0023752969121140144,0.10926365795724466
13,0.054276315789473686,0.02631578947368421,0.029605263157894735,0.011513157894736841,0.008223684210526315,0.07236842105263158,0.08717105263157894,0.26151315789473684,0.06085526315789474,0.15625,0.08552631578947369,0.046052631578947366,0.008223684210526315,0.003289473684210526,0.1875
14,0.0620384047267356,0.03840472673559823,0.0310192023633678,0.013293943870014771,0.0029542097488921715,0.06499261447562776,0.07090103397341212,0.30132939438700146,0.03249630723781388,0.08124076809453472,0.11669128508124077,0.03545051698670606,0.0029542097488921715,0.0,0.20827178729689808
15,0.0054249547920434,0.003616636528028933,0.003616636528028933,0.007233273056057866,0.007233273056057866,0.014466546112115732,0.04159132007233273,0.028933092224231464,0.009041591320072333,0.14647377938517178,0.07775768535262206,0.0108499095840868,0.0,0.0054249547920434,0.018083182640144666
