broad_discipline,record_n,share
Ecology and biology,3425,0.3581512077799854
Forestry and land management,1980,0.2070479974903273
Atmospheric and climate,1567,0.1638607131653247
Other or multidisciplinary,981,0.10258287148384398
Earth observation and geosciences,782,0.08177350203910906
Health,450,0.04705636306598348
"Engineering, policy and society",316,0.03304402384189062
Environmental sciences,62,0.0064833211335355015
